Eigvals	3
0.518709586627	0.237522066012	0.143049202046

Proportion explained	3
0.352990583138	0.161637751037	0.0973473783178

Species	0	0

Site	41	3
515rcbc9	-0.0107370053072	0.0126136316371	-0.0688343291354
515rcbc8	0.0506963863826	-0.0651370413496	-0.0764621765606
515rcbc25	0.0484697533828	-0.19805454008	-0.00569066346081
515rcbc11	0.0777113858357	-0.0682474263332	-0.0628321724733
515rcbc19	0.0609637181811	-0.012146003743	-0.047177926661
515rcbc18	-0.0768633012794	0.0561760442534	-0.0204034049216
515rcbc37	0.0522339544059	0.033052294698	-0.0616417638721
515rcbc10	-0.000145636751049	0.0120406759537	-0.0399853368779
515rcbc13	-0.00173852501998	0.0382928987885	0.0201659830895
515rcbc12	0.167988347853	0.0369786929325	0.0200070878288
515rcbc33	-0.0344526032588	-0.0984886701831	-0.0126690036553
515rcbc32	0.0198882452013	-0.106264091377	-0.0339436264846
515rcbc31	0.0811865537234	-0.039562128916	-0.0573815401252
515rcbc30	-0.089840496576	0.0651603224509	-0.0765914572053
515rcbc27	0.0139830804052	0.0363939193144	-0.0252071260037
16.17.1	-0.0293803580025	-0.077538774767	0.0554495223348
16.17.2	0.0148930838305	-0.0922072529752	0.0369843243515
16.17.3	0.493822814406	0.13324538024	0.170297131663
16.17.4	-0.00792897200335	-0.0547771031252	0.0743989223675
16.17.5	-0.0698293741878	0.0271353345798	0.0589912402601
16.17.6	-0.00864998659551	-0.223898190687	0.0558035810296
16.17.7	-0.00873309074721	0.0234478375821	0.0353388465653
16.17.8	-0.111892801931	0.0867979207358	-0.0277167824817
15.16.1	-0.116664405549	0.0984086226884	0.0711867748524
15.16.2	-0.121487832821	0.0780958579323	0.107363599551
15.16.3	-0.158504232612	-0.0869313394	0.17341606319
15.16.4	-0.122589104687	0.0912481621615	0.10578884339
515rcbc35	-0.0722774718052	0.102053159663	-0.0501654428998
515rcbc34	-0.0795946597701	0.0662453160968	-0.0340570216032
515rcbc15	-0.0638906582585	0.0698281038936	-0.0063534649217
515rcbc14	-0.00157248947542	-0.0751031221712	0.00778604949592
515rcbc21	-0.0404550442478	0.0159451965418	0.0325320963803
515rcbc22	-0.0215435637105	-0.0556705256073	0.00153085853658
515rcbc23	0.0578366592755	0.0106086414699	-0.0279855964582
515rcbc24	-0.0752878571138	0.0507370676972	-0.04016122791
515rcbc17	-0.051873381352	0.0507250956419	-0.0545338791149
515rcbc26	-0.130436732914	0.0886152759815	-0.032239345007
515rcbc36	0.354282158207	0.0568738782314	-0.0652625820073
515rcbc28	-0.0491428519401	-0.0365131535692	-0.0148407043706
515rcbc29	0.00822695807543	0.0335997011874	-0.047561536363
515rcbc16	0.053329338751	-0.0837796680688	-0.0373428143115

Biplot	0	0

Site constraints	0	0
