Eigvals	3
0.287264457197	0.130012619256	0.092767985483

Proportion explained	3
0.342982771408	0.156132891836	0.108980122361

Species	0	0

Site	29	3
515rcbc9	-0.0309221867843	-0.0122005877141	0.0379233126489
515rcbc8	0.0813409430772	0.130437328235	0.124335326543
515rcbc25	0.0941268118532	0.266269446233	0.0688418628814
515rcbc19	0.0961445569463	0.00446746700654	0.00551169463098
515rcbc18	-0.143884570965	-0.0394102689817	-0.00708156412136
515rcbc11	0.0995417147904	0.0810394433409	0.0290744732006
515rcbc10	0.010052038682	-0.035363091703	0.00510285365644
515rcbc35	-0.130789235535	-0.120214163795	0.135885774132
515rcbc34	-0.15628010331	-0.0518198924371	0.0245253441702
515rcbc15	-0.141946570302	-0.0465638934721	-0.0237463376469
515rcbc32	0.0921341778855	0.151430744468	0.0770025617571
515rcbc17	-0.120730030355	-0.0354556146494	0.038722929212
515rcbc30	-0.149417309082	-0.0485357599554	0.124429433935
515rcbc37	0.0420352597306	-0.0294939121038	-0.0127154397314
515rcbc36	0.467077069617	-0.180046705508	0.150196013458
515rcbc13	-0.0201774301307	-0.0398021568319	-0.12545107287
515rcbc12	0.220011919809	-0.066655585121	-0.227216034767
515rcbc33	-0.0374321286254	0.0681439925968	0.00977134374027
515rcbc14	-0.0151909578052	0.0531096502398	-0.107257346095
515rcbc21	-0.0633672762637	-0.0329009843027	-0.131053836606
515rcbc22	-0.0362944248736	0.0417614474112	-0.0946222426599
515rcbc23	0.0809325419024	-0.0187862854704	-0.090836440899
515rcbc24	-0.131174012889	-0.039421609216	-0.0127640308614
515rcbc31	0.126334816278	0.0529990907158	0.0429921831603
515rcbc26	-0.205055767284	-0.090038442704	0.0347925058733
515rcbc27	-0.00648568053479	-0.048065606494	-0.0746181695622
515rcbc28	-0.0492275438371	0.0317719781687	-0.0613822836249
515rcbc29	-0.0456971345164	-0.0362572434772	0.00989605742037
515rcbc16	0.0743405125219	0.0896012155216	0.0497411290247

Biplot	0	0

Site constraints	0	0
