Eigvals	3
0.287264457197	0.130012619256	0.092767985483

Proportion explained	3
0.342982771408	0.156132891836	0.108980122361

Species	0	0

Site	29	3
515rcbc9	-0.041842840696	-0.00186794636087	0.0171044360016
515rcbc8	0.0768587226178	0.0968877201048	0.117428824873
515rcbc25	0.0860466947136	0.273592554631	0.0536361864811
515rcbc19	0.0783507946317	0.00409782225538	0.0166743759859
515rcbc18	-0.139018946336	-0.0488709502656	0.00514170701779
515rcbc11	0.10449796296	0.0853866184952	0.0155686236903
515rcbc10	-0.000408601069056	-0.0177800428156	0.0184232658963
515rcbc35	-0.141015562482	-0.134624231945	0.125746740762
515rcbc34	-0.152122215942	-0.0667163814889	0.0189844308625
515rcbc15	-0.115474664104	-0.077360168682	0.00655176456471
515rcbc32	0.061363343883	0.144578835232	0.0755360242906
515rcbc17	-0.107607318172	-0.0476771611671	0.0435918742965
515rcbc30	-0.167002797023	-0.0500526619295	0.0858311508686
515rcbc37	0.054234775323	-0.0496249446476	-0.00764251587694
515rcbc36	0.505515606987	-0.209872343197	0.116789016398
515rcbc13	-0.00905921372726	-0.0569302973701	-0.097642076029
515rcbc12	0.238466508478	-0.10172963487	-0.189460936591
515rcbc33	-0.0490650546685	0.126746327509	-0.00795622682071
515rcbc14	-0.00486195835484	0.0883550075656	-0.127541109767
515rcbc21	-0.0525336933493	-0.0154960950599	-0.0895890218543
515rcbc22	-0.0279728298036	0.0771472067998	-0.0751793819587
515rcbc23	0.0769291232211	-0.0227033446964	-0.097088884518
515rcbc24	-0.139051054873	-0.0433050169993	-0.00388976245653
515rcbc31	0.115390926159	0.0522068204207	0.0523530129245
515rcbc26	-0.223332780606	-0.0883142921968	0.0246823779143
515rcbc27	0.00613685736592	-0.0515501306014	-0.0469728179791
515rcbc28	-0.0753741737753	0.0610584775708	-0.057840675095
515rcbc29	-0.0203230157293	-0.0392646981742	-0.004709284677
515rcbc16	0.062275404372	0.113682951883	0.0114688807954

Biplot	0	0

Site constraints	0	0
